file,label,geometry_type,method,status,error,pc_to_mesh_mean,pc_to_mesh_rmse,pc_to_mesh_p95,mesh_to_pc_mean,chamfer_mean,mesh_components,largest_mesh_component_ratio,mean_adjacent_face_angle,smoothness_score,n_vertices,n_triangles,bad_triangle_ratio,mean_aspect_ratio,artifact_score,rmse_normalized,accuracy_score,connectivity_score,global_quality_score
valve_0003_lidar_classes.ply,0,spherical,poisson,ok,,0.008377007516345904,0.009439921566689456,0.01673624334166897,0.0081531553696493,0.016530162885995202,1,1.0,0.059234458142256724,0.944078048361318,2653,5113,0.035791120672794836,3.1450043036632547,0.9642088793272051,0.01767279301437133,0.9826341107518222,1.0,0.9727302596100863
valve_0003_lidar_classes.ply,1,spherical,alpha_shape,ok,,0.018379247012098296,0.025957808883834196,0.0599477550759399,0.006857855868969425,0.02523710288106772,77,0.15932914046121593,1.5291692443591582,0.3953867469447978,345,477,0.008385744234800839,2.061941712482851,0.9916142557651991,0.04890030088588946,0.9533794576619067,0.012987012987012988,0.5883418683397291
valve_0003_lidar_classes.ply,1,spherical,ball_pivoting,ok,,0.006768616874100469,0.007664864178537731,0.013035378499982193,0.007026084824005346,0.013794701698105816,1,1.0,0.0784126631891755,0.9272888145088293,725,1357,0.0036845983787767134,1.8277004533097152,0.9963154016212233,0.014439360666276992,0.9857661667851756,1.0,0.9773425957288071
valve_0003_lidar_classes.ply,1,spherical,poisson,ok,,0.007608035719881411,0.008635579288902032,0.015021928787061106,0.009672399541528433,0.017280435261409845,1,1.0,0.05121865186225397,0.9512768806265764,2160,4070,0.07174447174447174,7.100709111817905,0.9282555282555283,0.016268030458235265,0.9839923819596097,1.0,0.9658811977104286
valve_0003_lidar_classes.ply,2,complex,alpha_shape,ok,,0.008552307474367565,0.011616935813269018,0.02670215227277578,0.007174094154267815,0.01572640162863538,19,0.6298507462686567,0.6334507754026869,0.6122008786909877,374,670,0.004477611940298508,1.8288088215863412,0.9955223880597015,0.026572636023428492,0.9741151915695306,0.05263157894736842,0.6586175093168971
valve_0003_lidar_classes.ply,2,complex,ball_pivoting,ok,,0.006434536828200193,0.0074440547622767325,0.013086250056170704,0.0071193215964801895,0.013553858424680383,1,1.0,0.17353317447538125,0.852127593620898,456,695,0.0028776978417266188,1.7746772641989514,0.9971223021582734,0.017027567416745992,0.9832575163522892,1.0,0.958126853032865
valve_0003_lidar_classes.ply,2,complex,poisson,ok,,0.006455842894182707,0.007236950080082895,0.011952256384319498,0.008512891423255677,0.014968734317438384,1,1.0,0.13392762662944754,0.8818904985783423,1245,2275,0.05758241758241758,5.337449380647085,0.9424175824175824,0.01655383514972264,0.9837157319392882,1.0,0.9520059532338032
valve_0003_lidar_classes.ply,3,plane,alpha_shape,ok,,0.009010159348187982,0.012090145016599725,0.027598410271751375,0.006301151496776672,0.015311310844964655,22,0.9173764906303237,0.459367709683474,0.6852282624623046,620,1174,0.0034071550255536627,1.8257998538179399,0.9965928449744463,0.02745525090253454,0.9732783974013298,0.045454545454545456,0.6751385125731566
valve_0003_lidar_classes.ply,3,plane,ball_pivoting,ok,,0.007080208472129728,0.0082286931637555,0.013911937356554376,0.005840874690437833,0.01292108316256756,1,1.0,0.11665710531781663,0.8955300559480035,736,1058,0.003780718336483932,1.856384766658758,0.996219281663516,0.01868636274425902,0.9816564121915606,1.0,0.96835143745077
valve_0003_lidar_classes.ply,3,plane,poisson,ok,,0.006750545616149366,0.007390155987832754,0.012018561275317021,0.006578035723114068,0.013328581339263434,1,1.0,0.13188030669743625,0.8834856425038152,1593,2962,0.07528696826468602,9.828650111767905,0.9247130317353139,0.01678214666376931,0.9834948452637232,1.0,0.9479233798757131
valve_0003_lidar_classes.ply,4,complex,alpha_shape,ok,,0.005889510553782102,0.00972174853354192,0.02097181217781888,0.007411709249054529,0.01330121980283663,7,0.4153846153846154,1.6490101724262458,0.37749949411636025,47,65,0.0,1.9962598379094556,1.0,0.056088094851880266,0.9468907043595195,0.14285714285714285,0.6168118353332557
valve_0003_lidar_classes.ply,4,complex,ball_pivoting,ok,,0.0027535520687567926,0.003107478518924575,0.004948084141149493,0.013253612272993296,0.016007164341750087,1,1.0,0.28008834706328894,0.7811960809534336,60,105,0.0,1.8818109100480271,1.0,0.01792810720399513,0.9823876489143821,1.0,0.9408959324669539
valve_0003_lidar_classes.ply,4,complex,poisson,ok,,0.002238409390310228,0.0025706165090809696,0.004366749406584769,0.008819956011321626,0.011058365401631853,1,1.0,0.13156178149691208,0.8837343363409883,2114,3959,0.05102298560242485,4.002922526799195,0.9489770143975751,0.014830766511979855,0.9853859707437194,1.0,0.9545243303705706
valve_0003_lidar_classes.ply,5,complex,alpha_shape,ok,,0.003412537980094723,0.0038129820173506373,0.0065378122801133635,0.010258907557640242,0.013671445537734965,1,1.0,0.790889909967089,0.5583816148801558,81,158,0.0,1.9529030308419784,1.0,0.017016707417808516,0.9832680158608076,1.0,0.8854124076852409
valve_0003_lidar_classes.ply,5,complex,ball_pivoting,ok,,0.003634568957074473,0.004673499120370642,0.007411664395118363,0.01005107534306031,0.013685644300134784,1,1.0,0.556208154780214,0.642587559336644,82,116,0.0,1.75137912552899,1.0,0.020857052770469283,0.9795690760877187,1.0,0.9055391588560907
valve_0003_lidar_classes.ply,5,complex,poisson,ok,,0.00446051152509008,0.0058953845318040635,0.013851126824181013,0.011382213224293308,0.015842724749383388,25,0.9386270167668459,0.2474520368636278,0.8016340271600524,1712,3161,0.06295476115153432,6.149566295291225,0.9370452388484657,0.02631012505086212,0.9743643520523991,0.04,0.6882609045152294
valve_0003_lidar_classes.ply,6,tubular,alpha_shape,ok,,0.006966621070237296,0.008119367872660542,0.01450686294271762,0.0068088933539078855,0.013775514424145182,1,1.0,0.3316419508302166,0.7509526110802882,719,1439,0.002779708130646282,1.9520608445656138,0.9972202918693537,0.010864898377948864,0.9892518788659267,1.0,0.9343561954538921
valve_0003_lidar_classes.ply,6,tubular,ball_pivoting,ok,,0.009061062958597765,0.011062656928944776,0.022624219666507815,0.007506882108830229,0.016567945067427994,34,0.8900979325353645,0.1763883044582421,0.8500594541872178,728,919,0.0,1.810106139570638,1.0,0.01480344839748118,0.9854124969511505,0.029411764705882353,0.7162209289610626
valve_0003_lidar_classes.ply,6,tubular,poisson,ok,,0.012434067160367775,0.013780490784090172,0.02299713899903283,0.05078263330035327,0.06321670046072105,27,0.9639740018570102,0.29566045805909985,0.7718071457532946,2818,5385,0.053110492107706596,4.682756045924772,0.9468895078922934,0.01844030647651138,0.9818935814310914,0.037037037037037035,0.6844068180284291
valve_0003_lidar_classes.ply,7,complex,alpha_shape,ok,,0.006296592189318703,0.007144901365159223,0.012239598468073548,0.00692790441380552,0.013224496603124223,1,1.0,0.20604193229014015,0.8291585667349979,619,1234,0.006482982171799027,1.9495488886200019,0.993517017828201,0.012551932672174398,0.9876036652865309,1.0,0.9525698124624324
valve_0003_lidar_classes.ply,7,complex,ball_pivoting,ok,,0.006366902844461562,0.007226244125728412,0.0125576848909096,0.006916751593348652,0.013283654437810214,2,0.7803571428571429,0.17904076334135755,0.8481470964295054,624,1120,0.00625,1.9256242209536525,0.99375,0.012694833014929584,0.9874643055330544,0.5,0.8323403504906399
valve_0003_lidar_classes.ply,7,complex,poisson,ok,,0.01074660489392467,0.014055255719253082,0.034202166934136774,0.008569491464592996,0.019316096358517665,3,0.9879518072289156,0.2353033371506179,0.8095177677627144,1071,1992,0.06325301204819277,8.762758801148816,0.9367469879518072,0.024691820707076664,0.9759031738049412,0.3333333333333333,0.7638753157131991
valve_0003_lidar_classes.ply,8,plane,alpha_shape,ok,,0.001785646211023649,0.001995353115188076,0.0030402336288185743,0.006718650255921631,0.008504296466945279,1,1.0,0.829099726113397,0.5467170464919767,46,95,0.010526315789473684,1.9499409098426992,0.9894736842105263,0.016309811475648927,0.9839519295282925,1.0,0.8800356650576989
valve_0003_lidar_classes.ply,8,plane,ball_pivoting,ok,,0.0017597734749342179,0.002006670776068015,0.0033540802376743274,0.006197344606466607,0.007957118081400826,1,1.0,0.37977152738812137,0.7247576719407879,46,78,0.01282051282051282,2.0629178814123983,0.9871794871794872,0.01640232087355554,0.9838623736519428,1.0,0.9239498831930545
valve_0003_lidar_classes.ply,8,plane,poisson,ok,,0.0016097497558085535,0.0020427187450639036,0.004898568089648041,0.006910289170955536,0.00852003892676409,20,0.9449332029977191,0.1833332754801387,0.8450704638507263,1647,3069,0.051156728576083416,6.387872561524922,0.9488432714239166,0.016696973270631413,0.9835772371615127,0.05,0.7068727431090389
valve_0003_lidar_classes.ply,9,spherical,alpha_shape,ok,,0.01744631736305416,0.02407808254009645,0.051075871985594316,0.007041751059996537,0.024488068423050697,290,0.04844467108618052,1.5154753237689742,0.3975391809853595,1402,1961,0.010198878123406425,2.116170176676199,0.9898011218765935,0.029406929304181168,0.9714331344903044,0.0034482758620689655,0.5905554283035815
valve_0003_lidar_classes.ply,9,spherical,ball_pivoting,ok,,0.008009788919564623,0.00910162465631759,0.01566809178518149,0.006861344770050354,0.014871133689614978,1,1.0,0.06421155564749706,0.9396627904416721,2725,5312,0.00809487951807229,1.954884049612398,0.9919051204819277,0.011115952957458855,0.9890062530168322,1.0,0.980143540985108
valve_0003_lidar_classes.ply,9,spherical,poisson,ok,,0.00854162351312711,0.009656824249014966,0.01657146993561974,0.010282991570459714,0.018824615083586824,1,1.0,0.04712031685827548,0.9550000930173403,7274,14369,0.07272600737699214,6.137705634271257,0.9272739926230078,0.0117940266846742,0.9883434509656878,1.0,0.967654384151509
valve_0004_lidar_classes.ply,0,spherical,alpha_shape,ok,,0.012376556042022358,0.016765628580432877,0.03509932576244434,0.006197475820326642,0.018574031862349,183,0.07332155477031801,1.479412837544812,0.40332129642041764,817,1132,0.0088339222614841,2.0286383234286633,0.991166077738516,0.030612939300528216,0.9702963759398315,0.00546448087431694,0.5925620577432705
valve_0004_lidar_classes.ply,0,spherical,ball_pivoting,ok,,0.007334001665177863,0.008267200359376184,0.014278865039289728,0.00611048778392212,0.013444489449099983,1,1.0,0.06589013278632701,0.9381829977034456,1237,2380,0.0058823529411764705,1.856084744944565,0.9941176470588236,0.015095366187597705,0.9851291152630403,1.0,0.9793574400063274
valve_0004_lidar_classes.ply,0,spherical,poisson,ok,,0.00741610324451141,0.008388120127442486,0.014526128892381506,0.006128106774572844,0.013544210019084253,1,1.0,0.045468563569126125,0.9565089136550401,2324,4439,0.05879702635728768,5.675546315170867,0.9412029736427123,0.015316157761399354,0.9849148881909169,1.0,0.9706566938721674
valve_0004_lidar_classes.ply,1,spherical,alpha_shape,ok,,0.016415547943886905,0.023017642716960017,0.05253835933111863,0.007274356145119409,0.023689904089006314,86,0.18765432098765433,1.3307756726737503,0.42904171848200623,532,810,0.003703703703703704,2.056645875248438,0.9962962962962963,0.04293832066236123,0.9588294726431267,0.011627906976744186,0.5989488485995433
valve_0004_lidar_classes.ply,1,spherical,ball_pivoting,ok,,0.007834573580166865,0.00888647019370834,0.015093773316785028,0.007275014539055366,0.015109588119222231,1,1.0,0.09794773733241986,0.9107901642291334,921,1761,0.0017035775127768314,1.8377930532892173,0.9982964224872232,0.01657728862273168,0.9836930366158476,1.0,0.973194905833051
